,Unnamed: 0,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,Year,Month,Date
9,9,SAANICHTON CDA,48.698,-123.594,BC,2.0,0.0,-2.8,9.4,0.0,-12.8,0.0,41.7,0.0,513.0,102.2,0.0,70.0,,15.0,,,,496.8,0.0,1016940,1917,1,1917-01-01
14,14,VICTORIA GONZALES HTS,48.417,-123.317,BC,3.3,0.0,,9.4,0.0,-10.6,0.0,47.3,0.0,,112.2,0.0,,,16.0,,,,457.1,0.0,1018610,1917,1,1917-01-01
56,56,PRINCE GEORGE,53.833,-122.8,BC,-12.9,0.0,,5.6,0.0,-48.9,0.0,35.8,0.0,,35.8,0.0,,,6.0,,,,958.0,0.0,1096436,1917,1,1917-01-01
131,131,SAANICHTON CDA,48.698,-123.594,BC,9.5,0.0,-0.8,22.8,0.0,1.7,0.0,0.0,0.0,0.0,15.6,0.0,17.0,,2.0,,,,262.1,0.0,1016940,1917,10,1917-10-01
136,136,VICTORIA GONZALES HTS,48.417,-123.317,BC,10.3,0.0,,20.6,0.0,2.8,0.0,0.0,0.0,,26.0,0.0,,,4.0,,,,239.9,0.0,1018610,1917,10,1917-10-01
177,177,PRINCE GEORGE,53.833,-122.8,BC,5.6,0.0,,21.1,0.0,-12.2,0.0,6.3,0.0,,49.1,0.0,,,8.0,,,,384.1,0.0,1096436,1917,10,1917-10-01
249,249,SAANICHTON CDA,48.698,-123.594,BC,7.8,0.0,1.2,15.0,0.0,0.6,0.0,0.0,0.0,0.0,47.2,0.0,30.0,,9.0,,,,305.1,0.0,1016940,1917,11,1917-11-01
254,254,VICTORIA GONZALES HTS,48.417,-123.317,BC,8.9,0.0,,16.1,0.0,2.8,0.0,0.0,0.0,,58.1,0.0,,,14.0,,,,274.5,0.0,1018610,1917,11,1917-11-01
295,295,PRINCE GEORGE,53.833,-122.8,BC,5.6,0.0,,16.1,0.0,-16.1,0.0,7.6,0.0,,23.8,0.0,,,5.0,,,,372.7,0.0,1096436,1917,11,1917-11-01
368,368,SAANICHTON CDA,48.698,-123.594,BC,4.4,0.0,0.0,13.9,0.0,-2.8,0.0,8.7,0.0,130.0,235.0,0.0,166.0,,19.0,,,,420.5,0.0,1016940,1917,12,1917-12-01
373,373,VICTORIA GONZALES HTS,48.417,-123.317,BC,5.2,0.0,,13.3,0.0,-2.2,0.0,10.1,0.0,,330.9,0.0,,,24.0,,,,396.8,0.0,1018610,1917,12,1917-12-01
